Vehicle_Line,Derivative,Trim,Model_Year,Total_Price_GBP,Interior_Colour,Exterior_Colour,Feature_Codes
Discovery,P300,HSE,2021,80840,Brogue,Causeway Grey,"['CV005', 'IT005', 'IL002', 'LT003', 'IL001', 'CL003', 'DA003', 'IT004', 'WS002', 'CL002']"
Range Rover Sport,P440,Dynamic HSE,2023.5,132730,Espresso,Bright White,"['CL001', 'RF002', 'LT001', 'SF003', 'WS003', 'SF012', 'IL002', 'CV009', 'IT002', 'IT001', 'CL010']"
Range Rover Velar,P250,Autobiography,2023,104160,Espresso,Ostuni Pearl White,"['DA012', 'CV007', 'IT004', 'CL008', 'CL013', 'IT002', 'IL007', 'IL001', 'CS003', 'AS003', 'IT020', 'CS011', 'LT002']"
Range Rover Velar,P250,Dynamic HSE,2021,83162,Robusta,Narvik Black,"['RF003', 'WS009', 'CL001', 'IT002', 'DA002', 'IL002', 'CL009', 'CL010', 'IT009', 'LT003', 'IL001', 'DA007', 'SF007']"
Range Rover,P530 LWB,HSE,2023.5,182750,Ebony,Narvik Black,"['WS009', 'SF004', 'DA003', 'LT001', 'SF020', 'DA005', 'CL002', 'CV010', 'WS008', 'DA002', 'SF016', 'LT006', 'WS002']"
Discovery Sport,P200,SE,2022,34564,Cloud,Causeway Grey,"['SF011', 'SF008', 'WS001', 'IT001', 'CV001', 'EP002', 'SF009', 'SF018', 'SF022']"
Defender,P400 110,S,2023,51354,Light Oyster,Rossello Red,"['WS001', 'SF010', 'CV001', 'WS011', 'SF022', 'CV011', 'SF002', 'EP001']"
Discovery,P360,HSE Luxury,2020.5,80928,Titan,Lantau Bronze,"['SF001', 'CL010', 'CV006', 'CL001', 'IT008', 'LT003', 'CV005', 'IL001', 'CV002', 'SF019', 'DA002', 'CL008']"
Discovery,P360,SE,2023,65217,Espresso,Narvik Black,"['CV002', 'CV001', 'WS008', 'LT001', 'SF008', 'DA001', 'CV004', 'WS001', 'SF007']"
Range Rover,P460e PHEV SWB,SE,2022,111860,Moonbeam,Rossello Red,"['EP001', 'SF004', 'IT001', 'LT001', 'SF002', 'SF020', 'SF006', 'SF018', 'SF014']"
Discovery Sport,P290,HSE,2024.5,68822,Caraway,Pangea Green,"['LT003', 'RF003', 'DA005', 'WS001', 'IL002', 'CL012', 'IL001', 'DA001', 'SF003', 'IT005', 'DA007', 'CV010', 'CL010']"
Range Rover Velar,P250,Dynamic HSE,2020.5,74648,Espresso,Rossello Red,"['EP003', 'IT004', 'WS008', 'CV004', 'SF010', 'WS003', 'LT002', 'CL001', 'IT002', 'IL002', 'LT006', 'SF009']"
Range Rover Velar,P300,Dynamic SE,2023,66100,Perlino,Sedona Red,"['SF006', 'CL008', 'IT009', 'SF005', 'SF008', 'IT010', 'SF014', 'SF011', 'CV010', 'SF004', 'CV002', 'SF009']"
Discovery,D250,S,2023,52585,Acorn,Bright White,"['SF003', 'SF022', 'DA001', 'LT005', 'EP001', 'CV001', 'IT009']"
Range Rover Velar,D300,S,2024,61193,Ebony,Spectral British Racing Green,"['LT005', 'IT009', 'SF010', 'IT007', 'SF008', 'IT010', 'SF022']"
Defender,D240 110,SE,2023.5,58247,Ivory,Sunset Gold Satin,"['SF022', 'SF005', 'SF006', 'WS006', 'WS010', 'SF020', 'DA001', 'SF014']"
Range Rover,P530 SWB,Autobiography,2024,219720,Copper,Cosmos Black,"['IL002', 'IT006', 'IL003', 'CL004', 'AS005', 'EP003', 'CP005', 'AS007', 'IT021', 'EP014', 'CP001', 'CL016', 'AS009']"
Range Rover Sport,D300,Autobiography,2024.5,175335,Flame Red,Varesine Blue,"['LT004', 'EP014', 'IT020', 'CL013', 'IL009', 'WS005', 'DA019', 'DA002', 'WS015', 'IL001', 'RF004', 'IT015', 'CS012', 'SF025']"
Discovery Sport,P290,HSE Luxury,2024.5,67737,Copper,Fuji White,"['SF001', 'CL003', 'CL011', 'CL012', 'IT009', 'DA006', 'WS009', 'WS002', 'LT007', 'IL001', 'CV004']"
Range Rover Evoque,D200,Dynamic SE,2022,36503,Espresso,Indus Silver,"['LT001', 'CL010', 'SF020', 'IT001', 'SF018', 'SF005', 'CL008', 'CV001', 'SF004', 'SF008', 'CV011', 'SF003']"
Defender,D300 110,X-Dynamic,2023.5,87593,Reims Blue,Firenze Red,"['DA020', 'CP007', 'CV020', 'CS006', 'EP010', 'CS012', 'LT003', 'CP006', 'RF003', 'WS015', 'WS013', 'SS015']"
Range Rover Evoque,P300,Dynamic HSE,2024.5,71500,Cloud,Varesine Blue,"['IL002', 'RF002', 'CV007', 'WS003', 'IT004', 'LT003', 'LT006', 'IT002', 'IL001', 'CV004', 'LT007']"
Discovery Sport,P200,HSE,2025,66706,Robusta,Firenze Red,"['DA005', 'CL008', 'CV009', 'CV004', 'IL002', 'CV010', 'SF011', 'SF012', 'LT003', 'SF002', 'RF002', 'IL001', 'WS008', 'IL005']"
Defender,D240 90,Octa,2024.5,163935,Nimbus,Fuji White,"['WS018', 'CS013', 'CV004', 'IT004', 'CS005', 'SS002', 'IT005', 'WS004', 'EP014', 'IL010', 'IL006', 'LT002', 'LT007']"
Range Rover,D300 LWB,HSE,2022.5,155244,Dove,Ostuni Pearl White,"['LT003', 'IT003', 'CV005', 'DA002', 'RF003', 'DA006', 'IL002', 'IT009', 'SF022', 'IT008', 'DA005', 'IT010', 'WS009']"
Range Rover Sport,P460e PHEV,Dynamic HSE,2021.5,135300,Ebony,Indus Silver,"['IT011', 'EP002', 'CV007', 'LT003', 'IL005', 'CL012', 'IT002', 'IT005', 'IT008', 'IL002', 'RF003']"
Range Rover Velar,P400,Dynamic HSE,2023,97205,Glacier White,Lantau Bronze,"['WS009', 'IT005', 'IT003', 'DA002', 'EP003', 'CV004', 'CL009', 'CV005', 'SF001', 'SF006', 'RF003', 'CL008', 'SF010']"
Range Rover Evoque,P250,S,2024,37122,Dove,Santorini Black,"['CV011', 'WS001', 'SF007', 'SF009', 'SF003', 'SF002']"
Range Rover Evoque,P250,S,2023,34695,Titan,Champagne Gold,"['IT007', 'IT009', 'SF022', 'CV001', 'IT001', 'SF006', 'SF008']"
Discovery,D300,S,2023,53295,Caraway,Portofino Blue,"['SF002', 'IT009', 'IT010', 'SF006', 'IT001', 'CV001']"
Range Rover,P550e PHEV SWB,SE,2024.5,140062,Navy,Champagne Gold,"['SF010', 'SF022', 'SF018', 'SF003', 'SF008', 'SF011', 'SF004', 'CV001', 'CL002']"
Discovery Sport,P200,S,2022.5,30558,Navy,Bright White,"['SF022', 'IT010', 'SF007', 'DA001', 'SF005']"
F-Pace,P400,R-Dynamic HSE,2024.5,96820,Cloud,Seoul Pearl Silver,"['LT003', 'CL012', 'IL001', 'CV004', 'CL002', 'EP002', 'IT005', 'DA003', 'RF003', 'IT002']"
Range Rover,P550e PHEV LWB,SV,2022.5,285287,Vintage Tan,Balmoral Blue,"['LT003', 'IT006', 'WS005', 'AS008', 'CL004', 'AS009', 'DA002', 'RF005', 'LT013', 'LT012', 'EP008', 'WS013']"
Discovery Sport,D180,SE,2022.5,37126,Nimbus,Varesine Blue,"['SF006', 'SF008', 'CL010', 'SF018', 'SF001', 'DA001', 'IT009', 'SF005']"
F-Pace,P300,R-Dynamic SE,2023,58880,Vintage Tan,Kaikoura Stone,"['SF001', 'SF004', 'DA001', 'SF022', 'SF009', 'IT001', 'SF002', 'DA005', 'CL010', 'SF011', 'CV001', 'EP001']"
Range Rover Evoque,P300,Dynamic SE,2024,46590,Light Oyster,Kaikoura Stone,"['EP002', 'CV002', 'CV010', 'SF022', 'SF008', 'IT001', 'SF001', 'CV001', 'SF003', 'CL009', 'SF011']"
Range Rover,P550e PHEV LWB,SV,2021,249156,Navy,Sedona Red,"['CL018', 'IT010', 'CS009', 'LT020', 'DA020', 'SF010', 'IL001', 'AS008', 'IL009', 'CP009', 'EP002', 'EP014', 'IT024']"
Defender,P635 Octa,HSE,2021.5,131245,Ivory,Indus Silver,"['RF003', 'CL009', 'WS011', 'CL002', 'SF010', 'CL011', 'SF015', 'DA002', 'IT005']"
Defender,P300 110,SE,2025,68522,Reims Blue,Rossello Red,"['SF009', 'IT001', 'IT010', 'SF005', 'SF014', 'WS010', 'CV011', 'CL010', 'CV001', 'LT006', 'CV010', 'EP002']"
Discovery Sport,P200,HSE Luxury,2021.5,54260,Copper,Lantau Bronze,"['DA001', 'IL001', 'CV005', 'DA003', 'IT011', 'CL011', 'SF001', 'LT002', 'CL003']"
Range Rover Evoque,P200,S,2023.5,33516,Nimbus,Sedona Red,"['CV002', 'SF002', 'WS001', 'SF007', 'SF010']"
Discovery Sport,P250,HSE,2023.5,58588,Moonbeam,Spectral British Racing Green,"['EP003', 'CV001', 'IL002', 'CV006', 'SF005', 'WS003', 'SF010', 'LT002', 'CV007', 'CL001']"
Range Rover Velar,P250,S,2023,52645,Navy,Bright White,"['CV011', 'SF004', 'SF007', 'SF006', 'SF008', 'SF005']"
Defender,D240 110,X-Dynamic,2024,93031,Dove,Silicon Silver,"['AS005', 'AS008', 'CP007', 'SF001', 'WS013', 'IT010', 'IT007', 'AS007', 'LT003', 'CL012', 'RF001', 'CP008', 'LT018', 'SF011', 'LT013', 'CL009', 'CP002']"
Range Rover Velar,P400,Autobiography,2021.5,108190,Ebony,Firenze Red,"['AS007', 'IL005', 'AS010', 'SS008', 'LT011', 'DA002', 'IL007', 'WS004', 'LT004', 'LT005', 'DA015', 'EP001', 'CL014', 'SS015']"
Defender,P400 130,X-Dynamic,2023.5,115207,Acorn,Balmoral Blue,"['IT012', 'CP002', 'CP009', 'AS006', 'LT014', 'WS008', 'CP010', 'EP015', 'LT011', 'DA007', 'CP005', 'CP004', 'WS004', 'SF003', 'IL006', 'DA008']"
Discovery Sport,D180,HSE Luxury,2022.5,65762,Ebony,Santorini Black,"['DA007', 'CL008', 'CL002', 'CL012', 'CL010', 'LT003', 'CV006', 'SF011', 'IT002', 'IT005', 'IT003', 'IT004', 'IT011']"
Range Rover,P550e PHEV LWB,HSE,2024,202681,Nimbus,Carpathian Grey,"['WS009', 'IT003', 'WS003', 'SF003', 'DA002', 'CV004', 'DA007', 'RF002', 'IL002', 'IT009', 'CV005', 'CL010']"
Range Rover,P550e PHEV LWB,Autobiography,2021,221406,Espresso,Narvik Black,"['AS008', 'IT002', 'CP002', 'WS004', 'IT006', 'RF001', 'AS006', 'EP007', 'WS020', 'CL013', 'IL009', 'CS008', 'CS013', 'DA002', 'CV005', 'DA014']"
Discovery Sport,P200,HSE,2023.5,61586,Caraway,Fuji White,"['CL001', 'CL009', 'EP002', 'WS002', 'IT005', 'WS009', 'CV001', 'IL002', 'RF003', 'CV002', 'IT001', 'DA002']"
Range Rover Velar,D240,Dynamic SE,2021.5,57910,Espresso,Silicon Silver,"['CL010', 'SF002', 'IT010', 'SF006', 'DA005', 'LT001', 'SF005', 'CL008', 'SF004']"
Range Rover Evoque,P300,Autobiography,2022,77360,Titan,Fuji White,"['IT005', 'LT001', 'CP008', 'WS014', 'IL002', 'AS008', 'CS005', 'CP003', 'WS013', 'AS009', 'CL017', 'CV006', 'CV005', 'CV003', 'CS008']"
Defender,P300 110,S,2021.5,44070,Titan,Ostuni Pearl White,"['EP001', 'CL008', 'SF022', 'LT005', 'WS010', 'CV001', 'SF008']"
Range Rover,D350 SWB,HSE,2021.5,126550,Ivory,Eiger Grey,"['CL011', 'CL002', 'CV009', 'WS008', 'EP003', 'CV005', 'SF017', 'LT002', 'IT010', 'IT011']"
F-Pace,P300,R-Dynamic SE,2024.5,65700,Espresso,Varesine Blue,"['CL010', 'IT010', 'WS001', 'LT001', 'SF010', 'EP002', 'CV004', 'SF014', 'LT006', 'CL001', 'SF003']"
Range Rover Sport,P635 SVR,Dynamic HSE,2022,265835,Caraway,Sunset Gold Satin,"['RF003', 'IT010', 'SF016', 'IL001', 'DA006', 'SF019', 'SF012', 'IL002', 'CL008', 'IT005', 'CV006', 'IT004']"
F-Pace,D200,SVR,2025,125092,Light Oyster,Lantau Bronze,"['WS013', 'CV006', 'CV010', 'DA004', 'RF004', 'CL012', 'EP010', 'AS003', 'CV002', 'AS008', 'LT004', 'CL018', 'CV014', 'LT006', 'IL006', 'DA001']"
F-Pace,P400,R-Dynamic SE,2025,68902,Eclipse,Balmoral Blue,"['EP001', 'CL010', 'CV010', 'SF009', 'DA005', 'CL008', 'CV002', 'SF002', 'CV011', 'SF004']"
Defender,P300 130,SE,2023.5,72658,Moonbeam,Eiger Grey,"['CL010', 'LT001', 'SF022', 'CV001', 'CV010', 'SF004', 'CV004', 'CL009', 'SF003', 'IT010', 'CV002']"
Range Rover Velar,P400,S,2021,49938,Vintage Tan,Spectral British Racing Green,"['SF004', 'SF008', 'CV002', 'SF006', 'IT001', 'SF002']"
Range Rover Sport,D300,Dynamic HSE,2022.5,123474,Navy,Gondwana Stone,"['IL002', 'IL005', 'WS002', 'SF020', 'WS009', 'CV006', 'CL002', 'IT005', 'SF008', 'IT008', 'IT010', 'CL008', 'RF002']"
Defender,D300 130,Octa,2024.5,213754,Siena Tan,Pangea Green,"['DA006', 'LT012', 'LT017', 'CP001', 'IL009', 'CP009', 'WS003', 'AS008', 'IL008', 'IT002', 'DA010', 'EP004', 'IT005', 'SS013', 'CV006']"
Range Rover Velar,P300,Dynamic HSE,2022.5,89010,Robusta,Hakuba Silver,"['SF012', 'LT002', 'RF002', 'IL001', 'IL002', 'IT002', 'DA006', 'SF001', 'DA003', 'SF009']"
F-Pace,P250,R-Dynamic SE,2020.5,45558,Flame Red,Portofino Blue,"['EP001', 'SF001', 'LT006', 'CL010', 'IT010', 'SF006', 'WS001', 'CV001', 'CV010', 'IT001', 'SF005']"
Range Rover Velar,P400,Autobiography,2023.5,124268,Titan,Byron Blue,"['IL002', 'CL003', 'SS007', 'CL001', 'CV006', 'IT020', 'WS002', 'LT011', 'CL014', 'CV020', 'AS005', 'EP015', 'LT009', 'DA018', 'DA014', 'CV003']"
Discovery,P300,HSE,2024.5,90100,Titan,Pangea Green,"['CV004', 'SF001', 'IL005', 'IT004', 'LT002', 'EP003', 'WS002', 'WS009', 'CV005', 'CL008']"
Discovery,D300,SE,2024.5,68132,Light Oyster,Santorini Black,"['SF001', 'SF007', 'IT009', 'SF009', 'CV010', 'WS001', 'EP001', 'CV011']"
Discovery Sport,D200,HSE,2021.5,53436,Acorn,Portofino Blue,"['DA003', 'LT002', 'CV009', 'IT005', 'SF018', 'IL002', 'SF010', 'CL010', 'CL003', 'WS008']"
Range Rover Sport,P400,Dynamic SE,2024,102195,Flame Red,Balmoral Blue,"['CV002', 'IT009', 'SF003', 'SF020', 'IT010', 'SF022', 'SF014', 'SF010', 'SF011', 'IT001']"
Range Rover,P530 LWB,HSE,2021.5,155675,Robusta,Ostuni Pearl White,"['IT002', 'SF014', 'LT001', 'CL010', 'SF003', 'EP002', 'DA006', 'IT011', 'CL012']"
Range Rover Sport,P530,Dynamic HSE,2021.5,125500,Perlino,Kaikoura Stone,"['DA007', 'WS002', 'LT007', 'CL012', 'IL005', 'CV005', 'SF018', 'EP002', 'IT005', 'SF010']"
Range Rover,P460e PHEV LWB,SE,2024.5,156445,Acorn,Fuji White,"['CV004', 'CV002', 'CV011', 'SF020', 'SF004', 'WS002', 'DA005', 'IT001', 'CL010', 'SF009', 'SF018', 'IT010']"
Range Rover Velar,P400,Dynamic HSE,2022,89772,Copper,Sedona Red,"['IT004', 'CL008', 'EP002', 'CL012', 'LT006', 'RF002', 'IL005', 'LT003', 'IT005', 'IT011']"
Range Rover Evoque,D200,Dynamic SE,2022,34983,Brogue,Causeway Grey,"['CV001', 'SF010', 'SF020', 'LT006', 'EP001', 'IT010', 'SF006', 'SF004', 'SF011', 'SF018', 'SF022']"
Discovery,D250,SE,2020,48600,Siena Tan,Firenze Red,"['CL010', 'SF022', 'SF011', 'EP001', 'IT009', 'SF009', 'EP002', 'DA001']"
Range Rover Sport,D300,Dynamic S,2024.5,115985,Ebony,Causeway Grey,"['WS009', 'CP005', 'CP009', 'IT014', 'IL005', 'AS004', 'IT020', 'RF003', 'SF024', 'SF025', 'LT003', 'SF017', 'AS009', 'WS006']"
F-Pace,P400,R-Dynamic SE,2024.5,66895,Flame Red,Varesine Blue,"['SF020', 'SF005', 'IT002', 'CL001', 'SF014', 'CV002', 'SF008', 'SF006', 'LT006', 'IT009', 'IT010']"
Range Rover Velar,P300,Autobiography,2023.5,108010,Acorn,Rossello Red,"['RF001', 'IT022', 'CV011', 'IL010', 'LT005', 'IL003', 'EP015', 'CS014', 'CV007', 'DA002', 'CP004', 'CL019']"
Defender,D300 130,S,2024,60727,Perlino,Sedona Red,"['IT010', 'SF004', 'IT009', 'CV002', 'SF003', 'LT001', 'SF006', 'SF005']"
Defender,P300 90,S,2021,38192,Vintage Tan,Kaikoura Stone,"['SF007', 'IT009', 'WS006', 'SF022', 'SF010', 'SF005', 'IT010', 'CV001']"
Range Rover Velar,P400,Autobiography,2023,112620,Caraway,Santorini Black,"['RF004', 'CL017', 'CS008', 'DA004', 'DA014', 'AS003', 'CL012', 'WS005', 'CS007', 'CP001', 'CP004', 'IT017', 'SF012']"
Defender,P300 130,S,2022.5,53742,Nimbus,Champagne Gold,"['SF020', 'CV001', 'DA001', 'SF003', 'SF004']"
Range Rover,D300 SWB,SE,2021,89052,Ebony,Ostuni Pearl White,"['EP001', 'SF003', 'CV011', 'IT009', 'SF008', 'SF005', 'DA001', 'SF007', 'CV002', 'SF014']"
F-Pace,P575 SVR,R-Dynamic HSE,2023,179872,Ebony,Gondwana Stone,"['IT005', 'CV001', 'CL002', 'SF022', 'DA003', 'RF002', 'CV007', 'CV006', 'IT002', 'IT008', 'IT010', 'CL009', 'EP003', 'LT003']"
Range Rover Velar,D300,Dynamic SE,2025,79538,Robusta,Kaikoura Stone,"['IT010', 'EP001', 'SF018', 'SF001', 'SF011', 'CV004', 'SF004', 'CV010', 'WS001', 'DA001', 'LT001']"
F-Pace,D240,R-Dynamic HSE,2020,70700,Dove,Sunset Gold Satin,"['RF003', 'CV004', 'WS009', 'WS008', 'DA003', 'LT001', 'CV006', 'IL002', 'CV010', 'DA005', 'DA002', 'IT004', 'SF006']"
Defender,P400 90,SE,2022,53712,Ebony,Portofino Blue,"['SF020', 'CV002', 'SF002', 'WS010', 'EP008', 'IT009', 'CL008', 'SF007', 'SF003', 'SF006', 'SF011', 'LT001']"
Defender,D300 130,S,2021.5,51539,Ebony,Seoul Pearl Silver,"['IT009', 'CV002', 'DA005', 'CL001', 'SF008', 'IT001']"
Range Rover Velar,D300,S,2022,53210,Ivory,Lantau Bronze,"['IT007', 'IT010', 'SF008', 'SF006', 'DA001', 'IT009', 'WS001']"
F-Pace,P575 SVR,R-Dynamic SE,2024.5,151981,Acorn,Balmoral Blue,"['SF006', 'CV004', 'SF018', 'SF003', 'LT006', 'SF008', 'SF002', 'DA005', 'CV002']"
Discovery,P360,HSE Luxury,2023,97537,Cloud,Portofino Blue,"['CV005', 'CV004', 'SF019', 'WS008', 'SF014', 'IT003', 'LT002', 'IT005', 'IL002', 'IT002']"
Range Rover,P530 LWB,HSE,2023,178075,Siena Tan,Lantau Bronze,"['EP003', 'DA003', 'DA005', 'CV010', 'DA006', 'EP002', 'IL001', 'CL009', 'CL011', 'RF002']"
Range Rover Velar,P250,Dynamic HSE,2024,90132,Brogue,Portofino Blue,"['CL002', 'IT005', 'CL009', 'LT001', 'WS009', 'CV001', 'CL011', 'CV010', 'RF003', 'SF019']"
Range Rover Sport,D350,Dynamic S,2021,99876,Copper,Causeway Grey,"['LT016', 'SS009', 'IL004', 'WS019', 'DA018', 'CL002', 'LT012', 'IL007', 'WS008', 'EP015', 'CP002', 'IT005', 'WS014']"
Range Rover,D350 LWB,SV,2023,249480,Ivory,Gondwana Stone,"['CP008', 'CS008', 'AS009', 'LT003', 'CV003', 'IT022', 'EP009', 'CL003', 'IT012', 'CS012', 'LT014', 'AS005']"
Range Rover Sport,P550e PHEV,Dynamic HSE,2023,146975,Nimbus,Lantau Bronze,"['IT005', 'LT006', 'RF002', 'EP003', 'CV007', 'CV006', 'CL002', 'IL001', 'SF016', 'SF001']"
Discovery Sport,P250,HSE,2023.5,60288,Dove,Sedona Red,"['LT003', 'SF022', 'WS001', 'IL002', 'CL002', 'EP003', 'SF006', 'RF003', 'CL008', 'CL009', 'SF018', 'IT011']"
Discovery Sport,P290,S,2025,37377,Reims Blue,Balmoral Blue,"['SF022', 'SF007', 'CL008', 'IT007', 'CV001', 'SF004', 'EP001']"
Range Rover,D300 LWB,SV,2024,258309,Eclipse,Eiger Grey,"['EP004', 'DA005', 'AS008', 'LT001', 'CV006', 'CL014', 'CL010', 'SS007', 'EP002', 'CL013', 'IT011', 'IT012', 'SS006', 'CP006', 'SS001']"
Range Rover Evoque,D200,Autobiography,2022.5,76898,Moonbeam,Hakuba Silver,"['DA020', 'CP001', 'DA018', 'CP005', 'CL009', 'WS013', 'EP010', 'LT013', 'CV015', 'CV005', 'RF003', 'AS005', 'SF024', 'CL005', 'CL007', 'SF011', 'EP007']"
Defender,P500 110,S,2024.5,62408,Espresso,Firenze Red,"['SF020', 'CL008', 'EP008', 'WS001', 'SF008', 'WS010', 'SF006']"
Range Rover Evoque,D200,Dynamic HSE,2021.5,57036,Light Oyster,Pangea Green,"['CV004', 'CV007', 'CL012', 'IT002', 'SF007', 'SF012', 'RF003', 'CL002', 'CV001', 'SF010', 'IT003', 'SF001', 'WS002', 'CV010', 'IT005']"
F-Pace,P575 SVR,SVR,2020,199061,Copper,Corris Grey,"['CL013', 'DA014', 'LT002', 'LT015', 'CL016', 'RF003', 'IT005', 'EP015', 'CP007', 'CL002', 'CL018', 'CS007']"
F-Pace,D200,SVR,2021.5,104290,Caraway,Bright White,"['CP005', 'LT002', 'EP007', 'RF004', 'DA001', 'SS014', 'IT008', 'IL006', 'WS010', 'CP006', 'DA005', 'WS015', 'CL018', 'DA003', 'DA015', 'WS014']"
Range Rover,D300 SWB,HSE,2022.5,126000,Reims Blue,Rossello Red,"['CL002', 'WS001', 'CL003', 'DA002', 'SF018', 'SF006', 'IT003', 'CV009', 'CV004', 'SF002']"
Range Rover Velar,P400,Dynamic HSE,2023,100535,Siena Tan,Kaikoura Stone,"['CV004', 'LT003', 'WS009', 'SF016', 'IT005', 'CL011', 'RF003', 'CL012', 'EP002', 'EP001', 'SF003', 'IL001', 'DA002', 'SF015']"
Range Rover Sport,P550e PHEV,Autobiography,2023.5,192655,Perlino,Varesine Blue,"['IL011', 'CP008', 'IL006', 'WS010', 'IT007', 'AS007', 'CP004', 'CL013', 'IL009', 'LT005', 'SS012', 'CL014', 'EP014', 'RF001']"
Discovery,D250,S,2025,58212,Siena Tan,Varesine Blue,"['SF020', 'SF004', 'IT010', 'WS001', 'SF007']"
Defender,D300 110,S,2023,50617,Eclipse,Fuji White,"['EP001', 'SF001', 'SF010', 'SF003', 'CL001', 'SF002', 'SF022']"
Range Rover Evoque,D200,Dynamic SE,2023,40788,Nimbus,Gondwana Stone,"['IT002', 'SF010', 'EP001', 'DA005', 'SF011', 'EP002', 'SF006', 'SF020', 'IT010']"
Range Rover Velar,P250,Autobiography,2020.5,106122,Copper,Ostuni Pearl White,"['IL010', 'EP005', 'DA002', 'DA019', 'EP008', 'CP005', 'AS004', 'CP002', 'CV005', 'DA007', 'CP008', 'CS002', 'CL005', 'CL016', 'LT002', 'IL006', 'CP001', 'CP004']"
F-Pace,D240,R-Dynamic HSE,2020,65000,Acorn,Causeway Grey,"['IL001', 'CV005', 'EP002', 'CV006', 'SF008', 'IT002', 'SF003', 'IT005', 'DA005', 'LT002', 'CL009']"
Range Rover Evoque,P300,Autobiography,2023.5,67580,Caraway,Sedona Red,"['IT009', 'WS017', 'DA007', 'CP010', 'CS014', 'EP014', 'DA002', 'LT018', 'CL004', 'LT017', 'LT006', 'SS009']"
F-Pace,P575 SVR,R-Dynamic S,2023,144375,Nimbus,Lantau Bronze,"['CV020', 'CL004', 'WS004', 'WS019', 'EP015', 'DA003', 'EP011', 'CL008', 'CP004', 'WS006', 'CS009', 'EP013', 'CV005', 'IT013', 'IL008', 'DA014']"
Defender,P300 110,SE,2024.5,66875,Espresso,Portofino Blue,"['WS006', 'IT009', 'CL001', 'SF001', 'LT006', 'IT010', 'EP001', 'SF022', 'SF008']"
Discovery,D300,HSE Luxury,2021,91534,Copper,Carpathian Grey,"['LT007', 'CV009', 'DA003', 'LT003', 'WS003', 'WS009', 'IT005', 'WS008', 'CL011', 'IL002', 'DA007', 'CL001']"
Discovery Sport,P290,HSE,2020,51366,Ivory,Corris Grey,"['SF019', 'IL005', 'CL003', 'IT004', 'DA003', 'CV005', 'RF003', 'EP002', 'IT005', 'WS009']"
Range Rover Sport,P530,Dynamic HSE,2023,150550,Titan,Eiger Grey,"['CV005', 'DA002', 'WS003', 'EP002', 'CL001', 'IT005', 'WS009', 'DA007', 'DA003', 'IL002', 'IT002', 'LT003', 'SF008']"
Range Rover Velar,D240,Dynamic HSE,2022,83038,Perlino,Seoul Pearl Silver,"['EP002', 'CV009', 'IT005', 'CL003', 'IL001', 'SF001', 'SF022', 'SF018', 'CV004', 'EP001', 'WS008', 'CV007', 'IL002']"
Range Rover Sport,P400,Dynamic SE,2020.5,82105,Flame Red,Byron Blue,"['IT010', 'CV002', 'CV001', 'SF018', 'SF003', 'SF008', 'CL009', 'SF020', 'LT001', 'DA005', 'CV007']"
Discovery,D250,HSE Luxury,2024,100267,Copper,Hakuba Silver,"['RF003', 'IL002', 'CL010', 'CV005', 'IT005', 'DA003', 'SF005', 'LT002', 'SF007', 'CV004']"
Range Rover,P460e PHEV SWB,HSE,2021,143899,Acorn,Corris Grey,"['CL008', 'WS008', 'DA005', 'WS002', 'IL002', 'CL001', 'IT004', 'DA003', 'DA006', 'RF002', 'IL005', 'DA002']"
Defender,P300 130,HSE,2023.5,102718,Glacier White,Hakuba Silver,"['IT005', 'CL003', 'LT002', 'EP008', 'WS008', 'WS006', 'CV006', 'SF019', 'IL002', 'IT002', 'IT003', 'DA006', 'CL002']"
Discovery Sport,D200,HSE,2022,56290,Dove,Seoul Pearl Silver,"['RF003', 'EP001', 'WS003', 'SF014', 'EP002', 'CL008', 'LT002', 'DA002', 'CL002', 'CL010', 'IL001', 'DA007']"
Range Rover Evoque,D200,Autobiography,2021.5,65142,Vintage Tan,Cosmos Black,"['AS009', 'SS011', 'DA011', 'RF004', 'LT003', 'WS001', 'AS004', 'IT013', 'EP014', 'CP006']"
Discovery Sport,D200,S,2022.5,32120,Titan,Portofino Blue,"['SF009', 'SF008', 'SF010', 'CV011', 'CL008', 'DA001', 'CV001', 'SF004']"
Discovery,P360,SE,2024.5,74753,Glacier White,Pangea Green,"['CV004', 'IT004', 'LT006', 'WS001', 'CV001', 'CV011', 'SF006', 'CL008', 'IT010', 'CL002', 'CV007', 'CV010']"
Range Rover Velar,P400,Autobiography,2022.5,121022,Navy,Ostuni Pearl White,"['CL002', 'WS009', 'CP002', 'EP013', 'RF004', 'IT005', 'DA015', 'CL009', 'CS012', 'IL010', 'IT010', 'WS014', 'SS004', 'CP009', 'EP002', 'RF005', 'CL011', 'LT008']"
F-Pace,P300,R-Dynamic S,2024,66840,Titan,Narvik Black,"['IT008', 'WS018', 'IT019', 'SF002', 'DA015', 'CL007', 'EP003', 'CP002', 'CS007', 'CL009', 'LT010']"
Range Rover Velar,P400,S,2021,50388,Brogue,Santorini Black,"['SF006', 'IT001', 'SF020', 'LT005', 'SF007']"
Range Rover Sport,D300,Dynamic S,2024.5,118485,Perlino,Eiger Grey,"['WS003', 'DA018', 'SS001', 'CV009', 'LT003', 'CP002', 'IT009', 'AS008', 'DA014', 'LT015', 'LT012', 'LT014', 'DA011', 'SF002', 'IL009']"
